Survey,n,FWHM,pixscale,Re_intrinsic_arcsec,Re_over_FWHM,R50_obs,R50_intr,rP_obs,rP_intr,rP50_obs,rP50_intr,rP90_obs,rP90_intr
SDSS r,2,1.3,0.396,0.39684297252195966,0.30526382501689203,0.814407003488994,0.37285998678100857,1.6496669374785473,,0.808685099320328,0.35069358302612264,1.6525735393118117,1.0728428333261049
SDSS r,2,1.3,0.396,0.48456721489250715,0.37274401145577474,0.8735091329508534,0.46283391587437755,1.7677222638487602,,0.8640673647871651,0.43453326365354134,1.8325630151188694,1.3144231769350645
SDSS r,2,1.3,0.396,0.5916833659834762,0.4551410507565201,0.9441384413950209,0.5701615251956018,1.9224696283488916,,0.9297380520707265,0.5377241580099026,2.067028658498179,1.6056320654335874
SDSS r,2,1.3,0.396,0.7224781099959423,0.555752392304571,1.0387919791719415,0.7018114962630881,2.1313943949038823,,1.0189526177415242,0.6581958823515234,2.3688952267181365,1.9609987235927122
SDSS r,2,1.3,0.396,0.8821857253933447,0.6786044041487267,1.1480804954192105,0.8543692999810079,2.406678921095981,,1.1251695796625063,0.8065686384942875,2.7486108019462305,2.3937930932448555
SDSS r,2,1.3,0.396,1.077197555635496,0.8286135043349969,1.2925692974763554,1.0392021566030392,2.765886329744591,,1.267110398692618,0.9909460005932147,3.2292479493788164,2.9271976561373507
SDSS r,2,1.3,0.396,1.3153177845285515,1.0117829111758088,1.4646626444807316,1.2520671556513532,3.2285947208228127,,1.4467965784511736,1.213895749190284,3.833982577165882,3.571808245479517
SDSS r,2,1.3,0.396,1.6060757520717193,1.2354428862090148,1.7067041742274702,1.5308265353423263,3.816873688508686,,1.6779283734492394,1.4832598944241,4.581114525268202,4.362802149126363
SDSS r,2,1.3,0.396,1.9611073093771783,1.508544084136291,2.0183591960194964,1.8719611450855678,4.553390583066575,,1.977041318630274,1.816721622897472,5.509591098777095,5.326519420641845
SDSS r,2,1.3,0.396,2.3946204741162513,1.8420157493201934,2.4082791832347263,2.2913705178609116,5.467571686444003,,2.354043398125775,2.219740690020242,6.655263308156587,6.503062103357968
SDSS r,2,1.3,0.396,2.9239640215699625,2.2492030935153555,2.8994316281154244,2.801636312831278,6.599594389681773,,2.822981816394744,2.715238710867918,8.06589552703262,7.939531846838813
SDSS r,2,1.3,0.396,3.5703217657448847,2.7464013582652957,3.504436165573525,3.4259716295917575,7.991266939775971,,3.4083555234169385,3.319285042286324,9.798262406899864,9.694949048407494
SDSS r,2,1.3,0.396,4.3595603150093885,3.3535079346226064,4.251683194609797,4.1873549597639865,9.703168386377863,,4.1295579036088625,4.0569191696133995,11.922447178004383,11.836711826384162
SDSS r,2,1.3,0.396,5.323264228606452,4.0948186373895785,5.168557551310457,5.115585762554259,11.80153599182774,,5.0157408766997635,4.956066729686001,14.52328302374686,14.452319276210629
SDSS r,2,1.3,0.396,6.5,5.0,6.2941555185919,6.2513612175318185,14.370282987750116,,6.1049401758387125,6.056984966832188,17.704691279803466,17.647036666838794
SDSS r,4,1.3,0.396,0.325,0.25,0.6940165945937165,0.021666666666666667,1.374154773266864,,0.6828396485618485,0.021666666666666667,1.3319434747821135,0.030986152812147963
SDSS r,4,1.3,0.396,0.39684297252195966,0.30526382501689203,0.7263453711187494,0.021666666666666667,1.418203422849987,,0.7090591932677451,0.021666666666666667,1.42737210150902,0.04760333621335604
SDSS r,4,1.3,0.396,0.48456721489250715,0.37274401145577474,0.7673727433588837,0.07661785220125127,1.4815358120792794,,0.7411828930376636,0.021666666666666667,1.5688421138346678,0.06108644431402657
SDSS r,4,1.3,0.396,0.5916833659834762,0.4551410507565201,0.8236380138066861,0.20313754282254945,1.5694711327595523,,0.7828836678773367,0.021666666666666667,1.7697289237420368,0.07286345323091416
SDSS r,4,1.3,0.396,0.7224781099959423,0.555752392304571,0.8971766316513975,0.34841359631466257,1.6935162120513412,,0.8391915966527741,0.021666666666666667,2.0319182176831307,0.08267475469579379
SDSS r,4,1.3,0.396,0.8821857253933447,0.6786044041487267,0.9860208176618707,0.5223140625281137,1.8724125052691831,,0.9122354331041205,0.021666666666666667,2.363092125165793,0.09090464695826196
SDSS r,4,1.3,0.396,1.077197555635496,0.8286135043349969,1.093475790780002,0.7076294333641593,2.1365446337418543,,1.009760283370949,0.5008480771737364,2.7851653709496276,1.9628887013382115
SDSS r,4,1.3,0.396,1.3153177845285515,1.0117829111758088,1.2228945187017184,0.9049830526711838,2.515533640645816,,1.13424949340329,0.7210983029728624,3.3413213976327714,2.6956831807528783
SDSS r,4,1.3,0.396,1.6060757520717193,1.2354428862090148,1.4228960284477032,1.1751422844445512,3.0184850358429705,,1.305775160483506,0.9710716584644086,4.052476547555296,3.5398764594686005
SDSS r,4,1.3,0.396,1.9611073093771783,1.508544084136291,1.6872437651770684,1.496045102348169,3.654462883969601,,1.5274373740631104,1.2659574248127252,4.936914293560038,4.522438793078825
SDSS r,4,1.3,0.396,2.3946204741162513,1.8420157493201934,2.0303180865435277,1.8796344841927433,4.43691278678997,,1.81692576637494,1.6104019874275017,6.0214592333163734,5.6837031084229155
