Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
0,2999,2999,39628039235043398,121.60879671172032,10.45708861787858,main,dark,22365,True,True,True,True,
1,3000,3000,39628039268599791,123.73375986386873,10.435969859410838,main,dark,4608,True,True,False,False,Galaxy size processing returned None
2,3001,3001,39628039704809081,150.20903381404256,10.446367507786382,main,bright,27559,True,True,False,False,Galaxy size processing returned None
3,3002,3002,39628039910326773,162.50530791292192,10.509328978830856,main,bright,27506,True,True,True,True,
4,3003,3003,39628040648526807,207.32968340789387,10.606909913066238,main,dark,26482,True,True,True,True,
5,3004,3004,39628040866630710,220.5158899553781,10.53712936571612,main,bright,8347,True,True,False,False,Galaxy size processing returned None
6,3005,3005,39628041093120259,234.08568215461105,10.53082392485988,main,bright,8285,True,True,True,True,
7,3006,3006,39628041093120259,234.08568215461105,10.53082392485988,main,dark,8285,True,True,True,True,
8,3007,3007,39628041223145167,242.02563562663155,10.582654875385025,main,dark,31664,True,True,True,True,
9,3008,3008,39628041244118003,243.34973835182063,10.572342352574555,main,bright,31643,True,True,True,True,
10,3009,3009,39628041311226806,247.39579339076,10.5801907930611,main,bright,31680,True,True,True,True,
11,3010,3010,39628041353171715,249.9992749260637,10.484384912353804,main,bright,31596,True,True,True,True,
12,3011,3011,39628041369949842,251.055295412696,10.498955027745268,main,bright,31597,True,True,True,True,
13,3012,3012,39628041386724111,251.94860868659305,10.544448090374328,main,bright,31591,True,True,True,True,
14,3013,3013,39628041453833850,256.04438933584277,10.55243177139408,main,dark,31580,True,True,True,True,
15,3014,3014,39628041453834252,256.05648476363444,10.552898987072597,main,dark,31580,True,True,True,True,
16,3015,3015,39628041458032205,256.38413306865993,10.449366244450497,main,dark,31581,True,True,True,True,
17,3016,3016,39628042405938919,313.588918837002,10.416554543530934,main,bright,12439,True,True,True,True,
18,3017,3017,39628042443686121,315.82784886339584,10.524313729375857,main,bright,12481,True,True,True,True,
19,3018,3018,39628042498212318,319.13588196148964,10.59519165788923,main,bright,12391,True,True,True,True,
20,3019,3019,39628042670180407,329.6265202709041,10.50850299570954,main,bright,19373,True,True,True,True,
21,3020,3020,39628042800206197,337.6317790846653,10.40167955680295,main,bright,19392,True,True,True,True,
22,3021,3021,39628042879893840,342.244385317155,10.56301987851558,main,dark,19314,True,True,True,True,
23,3022,3022,39628042951200662,346.74381264951967,10.501762817282598,main,bright,19293,True,True,True,True,
24,3023,3023,39628043139943696,358.1084167314419,10.384498159902591,main,dark,19607,True,True,True,True,
25,3024,3024,39628043144136198,358.2989068380721,10.590221802978563,main,dark,19613,True,True,True,True,
26,3025,3025,39628043211249045,2.528883771517787,10.71664360949784,main,dark,19566,True,True,True,True,
27,3026,3026,39628043521623898,21.20688519551739,10.74671709951397,main,bright,18370,True,True,True,True,
28,3027,3027,39628043727146519,33.73306220066078,10.729225967856769,main,dark,512,True,True,True,True,
29,3028,3028,39628045195154612,122.75243796927192,10.708135598406187,main,bright,4610,True,True,True,True,
30,3029,3029,39628045195154612,122.75243796927192,10.708135598406187,main,dark,4610,True,True,True,True,
31,3030,3030,39628045232900163,124.92331199738064,10.85752443302787,main,bright,4609,True,True,False,False,Galaxy size processing returned None
32,3031,3031,39628045379699541,133.7649151580557,10.842577309949617,main,bright,4290,True,True,False,False,Galaxy size processing returned None
33,3032,3032,39628045849465543,162.4070229528714,10.800454945939515,main,bright,27506,True,True,True,True,
34,3033,3033,39628046017237675,172.5958004861902,10.650335107886107,main,bright,27821,True,True,True,True,
35,3034,3034,39628046830930573,221.82751541164177,10.671575572499206,main,bright,8350,True,True,True,True,
36,3035,3035,39628046835123708,222.012077478483,10.741248150708156,main,bright,8350,True,True,True,True,
37,3036,3036,39628046939985189,228.55079513934197,10.707494580086546,main,bright,8301,True,True,True,True,
38,3037,3037,39628047111951383,238.93873157003324,10.631841424428384,main,bright,31660,True,True,True,True,
39,3038,3038,39628047145502852,240.8626837957335,10.62845001413759,main,bright,31666,True,True,True,True,
40,3039,3039,39628047179060528,243.0241823635072,10.627266540878482,main,bright,31665,True,True,True,True,
41,3040,3040,39628047338439754,252.48867524677584,10.849852634568098,main,bright,31602,True,True,True,True,
42,3041,3041,39628047346834443,253.20181379587788,10.681243906894617,main,bright,31600,True,True,True,True,
43,3042,3042,39628047426523643,257.9338956093628,10.76063790891856,main,bright,32258,True,True,True,True,
44,3043,3043,39628048508649889,323.40207709053465,10.715303700499469,main,bright,12380,True,True,True,True,
45,3044,3044,39628048781282232,340.0685826191474,10.798092480792471,main,bright,19310,True,True,True,True,
46,3045,3045,39628048789671147,340.57631232223065,10.76104144307288,main,bright,19309,True,True,True,True,
47,3046,3046,39628048793866971,340.92645026606993,10.72358157686935,main,bright,19309,True,True,True,True,
48,3047,3047,39628048856777550,344.53747733900235,10.741888431499165,main,dark,19291,True,True,True,True,
49,3048,3048,39628049670475403,33.97496890299398,11.105242559526118,main,dark,515,True,True,True,True,
50,3049,3049,39628051310449191,133.4590171305621,11.089446281810716,sv1,bright,4296,True,True,True,True,
51,3050,3050,39628051599852671,150.81458722948108,11.113792331187122,main,bright,27576,True,True,True,True,
52,3051,3051,39628052929447449,231.43586968811823,10.936272455513636,main,bright,8305,True,True,True,True,
53,3052,3052,39628052992364292,235.3000853539955,10.959384911266644,main,dark,8450,True,True,True,True,
54,3053,3053,39628053034306633,237.8661862796385,11.016456443719855,main,bright,8452,True,True,True,True,
55,3054,3054,39628053042695182,238.37796356075333,11.0797931765068,main,bright,31662,True,True,True,True,
56,3055,3055,39628053063665442,239.5738268733524,11.02925222074294,main,dark,31661,True,True,True,True,
57,3056,3056,39628053084636491,240.82401876317363,11.09675637733806,main,bright,31666,True,True,True,True,
58,3057,3057,39628053168525135,245.99719344202845,10.979479612866545,main,bright,31688,True,True,True,True,
59,3058,3058,39628053168525135,245.99719344202845,10.979479612866545,main,dark,31688,True,True,True,True,
