Index,TARGETID ID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity,processing_index
0,39627744736186871,136.4206535737615,-1.8240104985713113,main,bright,40951,4608536,1.2267600297927856,0.5209570185124963,195.80644,1.4457793644088743,1.5172302989419273,0.08483424303243292,7.461305382247812e-05,1000
1,39627744773933932,138.66248792167585,-1.737118229554151,main,dark,27275,4553415,1.181689977645874,0.5018175295982513,197.74297,0.9992262164457913,0.9997173584151574,0.0,3.015807858027999e-05,1001
2,39627744799099647,140.13934603669014,-1.7459032623178583,main,bright,27276,4553411,1.2700400352478027,0.5393363445872615,220.19353,1.1874712135608279,1.1890921761768236,0.002185015437034643,0.00010903612121881162,1002
3,39627744899760200,146.0009484839519,-1.7011996144998094,main,dark,27196,4555718,1.2654399871826172,0.5373828840351941,228.1439,1.3033611588758578,1.6140939746759817,0.3098659707257112,3.325734060875276e-05,1003
4,39627744971064331,150.30762050635707,-1.85421795419393,main,dark,27211,4536418,1.204450011253357,0.511482825957313,175.5916,1.0003253004264079,1.0221146613913947,0.04014295001309587,2.9577654659599254e-05,1004
5,39627745013009446,152.86816079314488,-1.7408870181570666,sv1,bright,27207,4536411,1.1636549830436707,0.49415877255638735,152.15721,1.5643849393667528,1.6892818429589673,0.14486040017827828,6.229256075941807e-05,1005
6,39627745088505948,157.34409921710306,-1.874278951771604,main,bright,26876,4536610,1.1863799691200256,0.5038091855993323,227.27411,0.8713113886338713,0.9387099468989025,0.13849269478366433,4.0127577425770566e-05,1006
7,39627745285637035,169.04819577920904,-1.6415964615338885,main,bright,26940,4457835,1.1342699527740479,0.48168009915133037,132.78561,1.0225975747490355,1.146301329188157,0.2056068549081822,4.557376073896987e-05,1007
8,39627745449218486,178.97833401792803,-1.718874086355386,sv1,bright,25595,3444422,1.0083600282669067,0.4282110772730635,93.23982,0.7610644892828616,0.8865790064751509,0.18118254172322212,1.4643573699022448e-05,1009
9,39627745528909835,183.67843855951753,-1.7050892721249329,main,dark,26251,3444520,1.1391250491142273,0.48374186873343683,115.615074,0.9806667483239164,1.141609711665991,0.26572560706590953,1.8781936179848892e-05,1010
10,39627745637961465,190.21656601799504,-1.851883551285675,main,bright,26171,3444724,1.1663349866867065,0.49529686531582817,102.9786,0.8319149159936785,0.8560134696071479,0.0547067847243361,2.559911480382065e-05,1011
11,39627745898005533,205.55738730873895,-1.7924829793063506,main,bright,26016,3502238,1.1822699904441833,0.5020638383552765,186.6513,0.9760759735736685,0.9765557366823839,0.0,2.878783185450381e-05,1012
12,39627746007056446,212.00221084452863,-1.6986472395453045,main,dark,25915,3860268,1.0271250009536743,0.43617982746540396,175.35104,0.8066029316152697,0.9357953962722209,0.2307117769332676,4.1878563858929736e-05,1013
13,39627746007056446,212.00221084452863,-1.6986472395453045,sv3,bright,25915,3860268,1.0271250009536743,0.43617982746540396,175.35104,0.8066029316152697,0.9357953962722209,0.2307117769332676,4.1878563858929736e-05,1014
14,39627746007056446,212.00221084452863,-1.6986472395453045,sv3,dark,25915,3860268,1.0271250009536743,0.43617982746540396,175.35104,0.8066029316152697,0.9357953962722209,0.2307117769332676,4.1878563858929736e-05,1015
15,39627746028030611,213.36480427338944,-1.7863442111989238,sv3,bright,25916,3860265,1.083120048046112,0.4599587345672848,166.8121,0.7469875559530621,0.7473547169955613,0.0,3.191303457625328e-05,1016
16,39627746090943778,217.0600423684769,-1.6375273665958152,sv3,bright,25952,3515368,1.0815999507904053,0.4593132086983699,198.10526,0.7280279661491693,0.8317557432259275,0.21368900646656297,2.7515782411720885e-05,1017
17,39627746116109786,218.56087399191983,-1.6533029262354948,main,bright,25934,3521974,0.9511079788208008,0.40389837042019083,179.35771,0.7316695312473418,0.7725748249412376,0.10367122768672421,4.0353506560785524e-05,1018
18,39627746116109786,218.56087399191983,-1.6533029262354948,sv3,bright,25934,3521974,0.9511079788208008,0.40389837042019083,179.35771,0.7316695312473418,0.7725748249412376,0.10367122768672421,4.0353506560785524e-05,1019
19,39627746128692209,219.2904322711983,-1.663654178179291,main,bright,25932,3521972,0.9672670066356659,0.4107604777175035,147.16551,0.7627224683275328,0.8202290359897092,0.1360700659358962,2.8483047906741072e-05,1020
20,39627746317440260,230.74912356432125,-1.7942102758031062,main,bright,31372,3860472,0.9641704857349396,0.40944550636448634,160.83095,0.9115363158910594,0.9985052726034198,0.16395863535073418,2.418348253407047e-05,1022
21,39627746405515601,235.7656559882629,-1.6679734922574123,main,dark,31292,3578902,0.9814299941062927,0.41677494472550825,178.34818,1.002372251989581,1.0028649403055774,0.0,1.7595658769968697e-05,1023
22,39627746409710146,236.02848089786136,-1.70505564916346,main,bright,31292,3578901,1.003749966621399,0.4262533643449628,157.6753,0.8518004550821575,0.9149997390901519,0.1193094113029195,8.709613758833923e-05,1024
23,39627746413905959,236.36109183457336,-1.6418847511931602,main,bright,31292,3578901,0.954541027545929,0.405356251982042,169.27594,0.8487441331193996,0.893503337932016,0.09989079969374282,2.2667888464996718e-05,1025
24,39627747726724036,314.5866766675747,-1.7547190494008007,main,dark,49148,3744788,0.9694899916648865,0.411704492541019,176.60039,0.967829259097438,1.0433380579683176,0.1390333308835393,4.254864406168104e-05,1026
25,39627747730923816,314.9957594298066,-1.7569834452738504,main,bright,49148,3744787,1.11211496591568,0.47227174248937714,181.9378,1.1062263360264395,1.202528194518316,0.1614715023299299,2.88031959121884e-05,1027
26,39627747802225696,319.2327546635005,-1.7248745970898365,main,bright,19083,3744885,1.0177899599075317,0.4322156005318678,148.74442,0.821191363796626,0.8652080883530557,0.10258219656462186,5.657818456425513e-05,1028
27,39627747902883293,325.04341143399336,-1.7416039519405986,main,bright,19003,3745081,1.004775047302246,0.4266886760296116,166.09183,0.8472455792269813,0.8777121943116324,0.024666578160497332,3.1032098608571074e-05,1029
28,39627747928054378,326.711111955257,-1.7416415247777517,main,bright,19004,3745388,1.2728800177574158,0.540542374116187,158.90729,0.9974657400044982,0.9979560166604325,0.0,3.691627785468128e-05,1030
29,39627748041296015,333.33099451636,-1.6594517547213463,main,dark,19015,3874077,1.166100025177002,0.49519708634961784,227.7997,0.8531174800987085,0.885901782990463,0.07323600611768377,6.246443296687381e-05,1031
30,39627748183903996,341.89748237084825,-1.8000559794065765,main,dark,18827,3874276,1.2284200191497803,0.5216619510870671,162.30128,1.0028973819403117,1.0064910757173438,0.005580168884496195,2.9028902939649865e-05,1032
31,39627748217460597,343.93743942894184,-1.8126357176955237,main,dark,18823,3874382,1.1598999500274658,0.4925641568556553,150.54271,0.9731069486110241,1.0758601250025175,0.18083239436453546,4.231271651550341e-05,1033
32,39627748712383332,13.273128950686804,-1.4049515482053954,main,bright,18018,3972745,1.118280053138733,0.4748898139789851,187.21877,1.0177717172108056,1.0182719747073852,0.0,0.0001476634209109034,1034
33,39627749056316196,33.77089056366285,-1.496066512287643,main,bright,17724,4040294,1.2134250402450562,0.5152941698477466,162.6059,1.0481462963138928,1.0486614835934924,0.0,2.9186500617394566e-05,1035
34,39627749328947796,50.15317972693788,-1.538778607395075,main,bright,23182,4161554,1.1622799634933472,0.4935748555164313,211.93285,0.9737743190753781,0.9979576826289824,0.04864648236131763,7.120419658903069e-05,1036
35,39627749433803169,56.27093779953899,-1.4493377314991918,main,bright,23100,4161650,1.2558799982070923,0.5333231305114808,171.74307,0.8318459519290404,0.8362968854667897,0.010214781701600506,2.304464796939112e-05,1037
36,39627749672878905,70.53317619440224,-1.4229558928658324,main,bright,22944,4301274,1.1777399778366089,0.5001401191236802,192.42378,0.7754248819312886,0.8325823157793518,0.13279263935515673,4.108576187322975e-05,1038
37,39627750671127396,130.16824324907128,-1.55202010089251,main,bright,21837,4550199,1.2142000198364258,0.5156232733786108,135.06808,0.8757254005108293,0.8995969939161571,0.05214902328512516,2.6062182634315002e-05,1039
38,39627750780178847,136.6988881307611,-1.441169468773957,main,bright,27298,4608546,1.2008299827575684,0.5099455413977444,212.16563,1.0864937277564097,1.1458075475966651,0.06942021992820191,6.257608300465051e-05,1041
39,39627750935363661,145.75220112201626,-1.592615664482592,main,bright,27198,4555618,1.2743899822235107,0.5411835969855444,165.90294,0.9336411292706838,0.9983929901129167,0.12547020684312227,4.58553211114806e-05,1042
40,39627751216384799,162.62727373426475,-1.5538519774025292,main,bright,27022,4536527,1.1925699710845947,0.5064378374054994,149.7352,0.8540418402235752,0.885203555742415,0.06826490752611614,3.151799097259611e-05,1043
41,39627751300271761,167.6831688967025,-1.4611948935404844,main,bright,26942,4457847,1.1171149611473083,0.4743950449651562,104.895065,0.8684895369782748,0.8695037896450228,0.0015353311466258512,5.068354740657671e-05,1044
42,39627751405127903,173.85780716539634,-1.5350955973224307,main,bright,26958,4413282,1.0814599990844727,0.4592537766809519,112.98905,2.0131734390607745,2.3451090726726944,0.2218294261344762,8.097329771835867e-05,1045
