Index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,objName,gPSFMag,rPSFMag,iPSFMag,zPSFMag,yPSFMag,gPSFMagErr,rPSFMagErr,iPSFMagErr,zPSFMagErr,yPSFMagErr,gKronMag,rKronMag,iKronMag,zKronMag,yKronMag,gKronMagErr,rKronMagErr,iKronMagErr,zKronMagErr,yKronMagErr,gKronRad,rKronRad,iKronRad,zKronRad,yKronRad,gexpTime,rexpTime,iexpTime,zexpTime,yexpTime,distance,Index
0,39627860679333668,207.22189347622344,3.0563946558718444,main,dark,26043,PSO J207.2219+03.0564,21.522600173950195,20.041200637817383,19.38290023803711,19.093000411987305,19.020700454711914,0.03406300023198128,0.019228000193834305,0.009068000130355358,0.01235199999064207,0.03677799925208092,21.214099884033203,19.76409912109375,19.052600860595703,18.832500457763672,18.817899703979492,0.042844999581575394,0.024291999638080597,0.01280600018799305,0.01702599972486496,0.04747600108385086,2.8680999279022217,2.873539924621582,3.427109956741333,3.0268099308013916,2.7286300659179688,982.0,704.0,810.0,630.0,760.0,0.015942858261652485,2000
1,39627860800968586,214.48599132819209,2.981380685387358,main,bright,26055,PSO J214.4860+02.9814,21.841100692749023,20.407499313354492,19.794599533081055,19.429899215698242,19.230600357055664,0.04772000014781952,0.016683999449014664,0.011448999866843224,0.01742600090801716,0.0267340000718832,21.79400062561035,20.197799682617188,19.52549934387207,19.350900650024414,18.919200897216797,0.06855300068855286,0.02235499955713749,0.01704699918627739,0.025724999606609344,0.03711000084877014,2.607379913330078,2.4977900981903076,2.78016996383667,2.4512100219726562,2.5979700088500977,896.0,704.0,1118.0,630.0,720.0,0.013799888724011205,2001
2,39627860817740064,215.26006245928343,2.9348299738387036,main,bright,26055,PSO J215.2601+02.9348,21.872299194335938,20.398000717163086,19.779699325561523,19.550399780273438,19.237899780273438,0.05062999948859215,0.015637999400496483,0.011256000027060509,0.019130000844597816,0.037953998893499374,21.857099533081055,20.20549964904785,19.608400344848633,19.253400802612305,19.192100524902344,0.06724599748849869,0.022081000730395317,0.017121000215411186,0.026613999158143997,0.057374000549316406,2.4400999546051025,2.454859972000122,2.704360008239746,2.745609998703003,2.2017199993133545,921.0,792.0,1054.0,810.0,1030.0,0.02779061336165384,2002
3,39627861061010013,229.7713823413633,2.991185186674722,main,dark,31419,PSO J229.7714+02.9912,21.961299896240234,20.460399627685547,19.843799591064453,19.539499282836914,19.284099578857422,0.06106499955058098,0.02034600079059601,0.013604000210762024,0.013000999577343464,0.024529000744223595,22.145000457763672,20.246599197387695,19.454099655151367,18.850400924682617,18.888099670410156,0.09582299739122391,0.02745099924504757,0.02029399946331978,0.01777699962258339,0.03190299868583679,2.518860101699829,2.989039897918701,3.1061999797821045,3.586639881134033,2.7436299324035645,853.0,784.0,2430.0,780.0,840.0,0.015085845277459488,2003
4,39627861090369757,231.50527015532828,2.972958101363191,main,bright,31415,PSO J231.5053+02.9730,21.103599548339844,19.797000885009766,19.163000106811523,19.008100509643555,18.74720001220703,0.02658499963581562,0.011138999834656715,0.006910999771207571,0.008592000231146812,0.01729400083422661,20.846500396728516,19.313899993896484,18.65130043029785,18.250200271606445,18.143400192260742,0.034728001803159714,0.015395999886095524,0.011358000338077545,0.01167600043118,0.02335299924015999,3.2649099826812744,3.5338099002838135,4.058800220489502,4.054749965667725,3.529279947280884,982.0,864.0,1530.0,780.0,930.0,0.020947499870069188,2004
5,39627861316866133,245.17119809658047,3.0151039702817277,main,dark,31520,PSO J245.1712+03.0151,21.866199493408203,20.596500396728516,19.806800842285156,19.398000717163086,19.154199600219727,0.05488999933004379,0.019488999620079994,0.008433000184595585,0.013372999615967274,0.025446999818086624,21.659000396728516,20.328500747680664,19.45319938659668,19.145299911499023,18.910600662231445,0.07638400048017502,0.0264699999243021,0.01254200004041195,0.019461000338196754,0.03573400154709816,2.618769884109497,2.688730001449585,3.125580072402954,2.493680000305176,2.662130117416382,903.0,1108.0,2070.0,870.0,910.0,0.0201656793660416,2005
6,39627862424158925,311.01834942143114,3.0098497456375397,main,bright,30071,PSO J311.0184+03.0099,21.893199920654297,20.516300201416016,19.826900482177734,19.545900344848633,19.321699142456055,0.05177000164985657,0.017729999497532845,0.008077000267803669,0.015394000336527824,0.03840700164437294,21.555500030517578,19.95359992980957,19.272600173950195,19.12929916381836,18.91320037841797,0.06316100060939789,0.022748000919818878,0.011390999890863895,0.021703999489545822,0.048496000468730927,2.9454801082611084,3.4682199954986572,4.073860168457031,2.903520107269287,2.7084600925445557,1075.0,800.0,1845.0,750.0,760.0,0.03284334042713831,2006
7,39627862470299538,313.8784637471187,3.121672421554643,main,bright,12299,PSO J313.8785+03.1217,21.686500549316406,20.301000595092773,19.690099716186523,19.559499740600586,19.489200592041016,0.0447859987616539,0.01279900036752224,0.007814999669790268,0.017952999100089073,0.037654999643564224,21.753999710083008,20.16390037536621,19.653499603271484,19.455900192260742,19.485200881958008,0.05935800075531006,0.01823499985039234,0.011458000168204308,0.02625199966132641,0.05291200056672096,2.1541900634765625,2.611069917678833,2.749530076980591,2.3333399295806885,1.9968600273132324,1152.0,1116.0,1980.0,660.0,700.0,0.013162745989622476,2007
8,39627862600322601,321.6304675878071,3.050438863624473,main,bright,19127,PSO J321.6305+03.0504,21.49679946899414,20.083200454711914,19.51810073852539,19.11359977722168,19.19499969482422,0.039496999233961105,0.010968999937176704,0.0076939999125897884,0.012407000176608562,0.03448300063610077,21.28380012512207,19.62540054321289,19.06130027770996,18.785600662231445,18.80270004272461,0.05089399963617325,0.01716100051999092,0.011017000302672386,0.01792900077998638,0.040633998811244965,2.693120002746582,3.1856400966644287,3.5651299953460693,3.044919967651367,2.492079973220825,817.0,800.0,2070.0,600.0,570.0,0.0015849729073741383,2008
9,39627863342713514,5.834384339104452,3.1393793847674525,main,dark,18108,PSO J005.8344+03.1394,22.71769905090332,20.86910057067871,20.170299530029297,19.896699905395508,19.6658992767334,0.12496799975633621,0.020533999428153038,0.011638999916613102,0.024822000414133072,0.03791600093245506,,21.101600646972656,20.355899810791016,19.15019989013672,19.8341007232666,,0.038322001695632935,0.0206339992582798,0.027893999591469765,0.055031999945640564,,2.406749963760376,2.34771990776062,3.6505699157714844,1.7709599733352661,817.0,2440.0,1980.0,630.0,830.0,0.048286525905299756,2009
