RA,DEC,Target ID,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity
183.73466534888476,-1.3087420873713234,39627757608505858,3894679,1.17194002866745,0.49767710748871563,118.51208,1.28578821558755,1.3577117737851656,0.10029264910609426,0.00021733096455162922
216.0455394054918,-1.3332314449493858,39627758153761861,3515575,0.9984819889068604,0.42401626018676825,103.63051,1.1303029894906558,1.1328353654530725,0.003753485289400893,3.288056347545409e-05
71.47423261207065,-0.9198764025836668,39627761765061064,4292190,1.126870036125183,0.4785376438862328,140.96797,2.9358721565095935,3.603462605910315,0.2989148861278996,0.0027212825188792037
147.62051561532004,-0.9148451626257368,39627763044321503,4511576,1.2832800149917603,0.544958846303219,137.51274,1.510119179897783,1.6684585570587518,0.17270080061965465,0.00045867378990348473
176.68378269108396,-1.122186024285621,39627763530862194,4412694,1.0565299987792969,0.4486669803107655,75.69908,1.096613743636891,1.0970488625445483,0.0007763546230739049,1.7936546980001405e-05
190.2275203511928,-1.1223263445714635,39627763757356398,3435208,1.1541600227355957,0.4901266341651286,75.17978,1.698293994057785,1.8963439180468082,0.16940355015569375,0.00012958145256182518
218.58131461697093,-0.8754936927833549,39627764235503633,3521376,0.999346524477005,0.4243833946401924,88.24821,0.8490900356369256,0.9549745922999844,0.20897407372979926,2.436676231266335e-05
338.5348347385814,-0.9889388476515628,39627766248768624,3869439,1.1073899865150452,0.47026522848394164,92.602585,0.9419221975807276,1.0984180115192985,0.26030339092754307,0.00011931335472697979
14.542447192456786,-0.626073708859469,39627766852749038,4014273,1.1405600309371948,0.4843512494060685,149.51761,1.3645544290198925,1.5040475534380136,0.17895932415632843,0.0006318444539794382
41.8101518776795,-0.8725854315900659,39627767309928793,4066241,1.135759949684143,0.48231284258038315,74.42148,0.8581293026498743,0.8585510923394737,0.0,1.2937461773509582e-05
