Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
66,66,66,39627485897295730,58.10802833189986,-12.583312239179063,main,dark,36340,True,True,True,True,
67,67,67,39627490355841132,329.9354034187731,-12.437959893854496,main,bright,18570,True,True,True,True,
68,68,68,39627490674609795,349.42880954179304,-12.40731164795937,main,bright,17142,True,True,True,True,
69,69,69,39627491463136792,37.38263696270512,-12.37094128780073,main,bright,36746,True,True,True,True,
70,70,70,39627491786097938,57.062764682850435,-12.32524969918424,main,bright,36342,True,True,True,True,
71,71,71,39627491840627085,60.565939777008175,-12.293781180362371,main,bright,22664,True,True,True,True,
72,72,72,39627491941289125,66.58001551918149,-12.338134038136584,main,bright,22585,True,True,True,True,
73,73,73,39627497037368196,17.2498335318215,-11.92327373944603,main,dark,17542,True,True,True,True,
74,74,74,39627497251278862,30.252896907539,-12.07184942569366,main,bright,17477,True,True,True,True,
75,75,75,39627497691679460,57.03895392420424,-12.036545842595228,main,dark,36342,True,True,True,True,
76,76,76,39627502573847175,354.1566520004449,-11.963481132227336,main,bright,17289,True,True,True,True,
77,77,77,39627502791950488,7.399456842873682,-11.667718054349765,main,bright,17223,True,True,True,True,
78,78,78,39627503475629972,49.19537784513526,-11.852351074183517,main,dark,36683,True,True,True,True,
79,79,79,39627508496206499,354.2434708614567,-11.750689377657098,main,bright,17292,True,True,True,True,
80,80,80,39627513957189582,326.2115441741666,-11.584635000032613,main,bright,48636,True,True,True,True,
81,81,81,39627514334677368,349.1394817801293,-11.42535748559963,main,bright,17148,True,True,True,True,
82,82,82,39627514355650191,350.48624039733386,-11.568889090799566,main,bright,17143,True,True,True,True,
83,83,83,39627514426952042,354.7730204879648,-11.574953775860022,main,bright,17292,True,True,True,True,
84,84,84,39627514506642081,359.5173016437197,-11.510571485291123,main,bright,17212,True,True,True,True,
85,85,85,39627514863157658,21.152729780949503,-11.36793366988004,main,dark,17467,True,False,True,True,
86,86,86,39627515504890997,60.31957035173853,-11.15002270118289,main,bright,22667,True,True,True,True,
87,87,87,39627519703384501,314.9485681532461,-11.3311645420115,main,bright,48956,True,True,True,True,
