Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
0,2900,2900,39628017596632344,253.29295663061592,9.498482173831434,main,bright,31578,True,True,True,True,
1,2901,2901,39628017680516047,258.2516154058225,9.449657909592998,main,dark,31573,True,True,True,True,
2,2902,2902,39628017701493909,259.72552782105237,9.53035456220379,main,bright,31914,True,True,True,True,
3,2903,2903,39628017709880810,260.1913692194651,9.619913555533492,main,bright,31913,True,True,True,True,
4,2904,2904,39628017709880810,260.1913692194651,9.619913555533492,main,dark,31913,True,True,True,True,
5,2905,2905,39628018708125619,320.47341629219983,9.430662148895932,main,bright,12367,True,True,True,True,
6,2906,2906,39628019286934324,355.22983186331044,9.532578809401771,main,bright,19610,True,True,True,True,
7,2907,2907,39628019341459944,358.5101602284028,9.607770875412674,main,dark,19606,True,True,True,True,
8,2908,2908,39628019404374275,2.296941976156006,9.780086086740074,main,dark,19561,True,True,True,True,
9,2909,2909,39628019597316729,14.18548046553481,9.722221131193816,main,bright,18348,True,True,True,True,
10,2910,2910,39628019597316729,14.18548046553481,9.722221131193816,main,dark,18348,True,True,True,True,
11,2911,2911,39628019744114116,22.90511114873717,9.796533852016642,main,bright,18282,True,True,True,True,
12,2912,2912,39628019773474172,24.659371381626027,9.74559741683972,main,dark,18281,True,True,True,True,
13,2913,2913,39628020004164408,38.76526782184696,9.861297859180011,main,dark,165,True,True,True,True,
14,2914,2914,39628021400866938,123.12811650660348,9.730717268825272,main,dark,22357,True,True,True,True,
15,2915,2915,39628021837072659,149.42720624035027,9.680769914234086,main,bright,27558,True,True,True,True,
16,2916,2916,39628021866436427,151.34873362831797,9.724043391867871,main,bright,27557,True,True,True,True,
17,2917,2917,39628022646571978,198.28954958450703,9.70334091107258,main,bright,26523,True,True,True,True,
18,2918,2918,39628022667546611,199.72829875661793,9.640775010218924,main,dark,26524,True,True,True,True,
19,2919,2919,39628022759822294,205.3214572444841,9.800120968544562,main,bright,26476,True,True,True,True,
20,2920,2920,39628022797567405,207.466200104344,9.784665458062506,main,bright,26469,True,True,True,True,
21,2921,2921,39628022860481531,211.22869868018057,9.718547727100384,main,bright,26454,True,True,True,True,
22,2922,2922,39628022919202498,214.8030535735824,9.841231102674188,main,bright,8362,True,True,True,True,
23,2923,2923,39628022990504432,219.06403782879568,9.757154930317746,main,dark,8357,True,True,True,True,
24,2924,2924,39628023049227628,222.73059885390987,9.73921313456454,main,dark,8342,True,True,True,True,
25,2925,2925,39628023263135972,235.63260069275483,9.770744495366587,main,bright,8277,True,True,True,True,
26,2926,2926,39628023430912330,245.88630487813992,9.69607277826731,main,dark,31638,True,True,False,False,Galaxy size processing returned None
27,2927,2927,39628023598680008,255.86782435428825,9.746839166339166,main,bright,31580,True,True,True,True,
28,2928,2928,39628023682574532,261.12527397957086,9.690066493923371,main,dark,31913,True,True,True,True,
29,2929,2929,39628024617899725,317.58671375985443,9.725042004072565,main,bright,12393,True,True,True,True,
30,2930,2930,39628024806642577,329.0322144766882,9.765341355268216,main,bright,19372,True,True,True,True,
31,2931,2931,39628024911498917,335.336026697312,9.647298936311229,main,bright,19350,True,True,True,True,
32,2932,2932,39628024945052448,337.3377819586153,9.854132042098689,main,bright,19392,True,True,True,True,
33,2933,2933,39628024949245230,337.50417479212166,9.644674052903891,main,bright,19392,True,True,True,True,
34,2934,2934,39628025125407083,348.18545634281605,9.633767969893684,main,bright,19285,True,True,True,True,
35,2935,2935,39628025234457341,354.7232509697772,9.766806584600284,main,bright,19610,True,True,True,True,
36,2936,2936,39628025414815659,5.812759389907475,9.890142221208428,main,dark,19568,True,True,True,True,
37,2937,2937,39628025427398486,6.588443173134224,9.88093853349412,main,dark,19546,True,True,False,False,Galaxy size processing returned None
38,2938,2938,39628025737773287,25.109559877257595,10.037553269099204,main,dark,18284,True,True,True,True,
39,2939,2939,39628027373554542,124.08337934936746,10.10489493480742,main,bright,4608,True,False,True,True,
40,2940,2940,39628027386138653,124.91057926304671,10.075085067626654,main,dark,4267,True,True,True,True,
41,2941,2941,39628027549714310,134.719412892854,9.977773350445194,main,dark,4288,True,True,False,False,Galaxy size processing returned None
42,2942,2942,39628027801374043,150.00640047080623,9.940535104307632,main,bright,27558,True,True,True,True,
43,2943,2943,39628027834927498,151.98509270142475,9.89002101085287,main,bright,27568,True,True,True,True,
44,2944,2944,39628027872677871,154.32344062951506,10.054676980506786,main,bright,27548,True,True,True,True,
45,2945,2945,39628027923008561,157.3646519358255,9.920867700122509,sv1,bright,27584,True,True,True,True,
46,2946,2946,39628028032057548,163.78364671322706,9.906923498840538,main,bright,27482,True,True,True,True,
47,2947,2947,39628028296302475,179.9297016515779,9.997869484485486,main,dark,27840,True,False,True,True,
48,2948,2948,39628028719924860,205.42328273955505,9.942876604385816,main,bright,26476,True,True,True,True,
49,2949,2949,39628028719924860,205.42328273955505,9.942876604385816,main,dark,26476,True,True,True,True,
50,2950,2950,39628028745089693,206.90472893354212,9.9493272461343,main,bright,26471,True,True,True,True,
51,2951,2951,39628028870922946,214.68459491172652,10.08354921599044,main,bright,8363,True,True,True,True,
