Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
182,7182,7182,39633496389455210,283.78183442840736,70.84562453298824,main,bright,16097,True,True,True,True,
183,7183,7183,39633497484165161,121.27533575559336,71.08858896240987,main,bright,7807,True,True,True,True,
184,7184,7184,39633497509334534,126.5942187275324,71.08868072271758,main,bright,7970,True,True,True,True,
185,7185,7185,39633497572246988,137.62264667276332,71.04028686819946,main,bright,7949,True,True,True,True,
186,7186,7186,39633497614190743,145.32385288915566,71.04371757427069,main,bright,7956,True,True,True,True,
187,7187,7187,39633497765185576,172.75989083931051,70.97187059071814,main,bright,7633,True,True,True,True,
188,7188,7188,39633497769377875,173.14979410646745,70.93442343094772,main,bright,7636,True,True,True,True,
189,7189,7189,39633497878432598,193.6851633620552,71.04733878410568,main,bright,12004,True,True,True,True,
190,7190,7190,39633498398524587,287.76805764784774,71.12368355984997,main,bright,16077,True,True,True,True,
191,7191,7191,39633499405159963,112.6916923758624,71.25609494830864,main,bright,7890,True,True,True,True,
192,7192,7192,39633499447101391,120.09523969941634,71.14825262595089,main,bright,7806,True,True,True,True,
193,7193,7193,39633499468071472,123.73016558714086,71.33350578948223,main,bright,7976,True,True,True,True,
194,7194,7194,39633499480655146,126.21306076319269,71.31968022880798,main,bright,7970,True,True,True,True,
195,7195,7195,39633499510016662,131.87680663307606,71.14836404283335,main,bright,7972,True,True,True,True,
196,7196,7196,39633499560346226,140.73942224822565,71.29829163958412,main,bright,7954,True,True,True,True,
197,7197,7197,39633499623260931,152.33359615050463,71.18375544196007,main,bright,7656,True,True,True,True,
198,7198,7198,39633500231434441,264.24510238034617,71.33733428440765,main,bright,11732,True,True,True,True,
199,7199,7199,39633500340487499,284.5363662515944,71.17779632539687,main,bright,16078,True,True,True,True,
200,7200,7200,39633501313566841,105.19843831854024,71.45865086160306,main,bright,7887,True,True,True,True,
201,7201,7201,39633501317760716,105.94299615665284,71.490511650588,main,bright,7887,True,True,True,True,
202,7202,7202,39633501321953417,106.46133861123724,71.57163177112952,main,bright,7887,True,True,True,True,
203,7203,7203,39633501334538989,109.30934429029944,71.51727548942955,main,bright,7896,True,True,True,True,
204,7204,7204,39633501519086996,143.5027855738621,71.43947460345257,main,bright,7953,True,True,True,True,
205,7205,7205,39633501523281157,144.21898438895258,71.47831060644047,main,bright,7953,True,True,True,True,
206,7206,7206,39633501561031237,151.48922750543196,71.60272960534677,main,bright,7656,True,True,True,True,
207,7207,7207,39633501741386770,185.24567936667776,71.53615570767333,main,bright,12008,True,True,True,True,
208,7208,7208,39633502110483164,253.6736004205314,71.52786790947131,main,bright,11727,True,True,True,True,
209,7209,7209,39633502135650793,258.8584076939944,71.59611427474775,main,bright,11736,True,True,True,True,
210,7210,7210,39633503263918481,110.62053644719197,71.8143623367074,main,bright,7896,True,True,True,True,
211,7211,7211,39633503314250205,120.24105298535044,71.86386157699104,main,bright,7807,True,True,True,True,
212,7212,7212,39633503356191850,127.91305647587274,71.8251482786331,main,dark,7971,True,True,True,True,
213,7213,7213,39633503381359051,133.00732064122664,71.6305386301779,main,bright,7972,True,True,True,True,
214,7214,7214,39633503444274067,144.90588399181786,71.7573044870818,main,bright,7956,True,True,True,True,
215,7215,7215,39633503612044327,176.2387307801942,71.66554348199709,main,bright,7636,True,True,True,True,
216,7216,7216,39633503612046007,176.54250911485576,71.78133110060655,main,bright,7637,True,True,True,True,
