Index,TARGETID ID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity,processing_index
2061,39633244362113186,198.90179093962612,49.76237533872069,main,bright,11057,3884855,1.2102449536323547,0.5139437114042609,151.06723,0.8968950203292629,1.0348645420012303,0.23041276604904104,8.311745877348604e-05,6119
2062,39633244387279555,201.26067924460153,49.657823007765025,main,bright,11038,3884956,1.1259649991989136,0.4781533100904596,119.99101,0.829926451874349,0.8303343792338337,0.0,3.783835176243106e-05,6120
2063,39633244395669049,202.15565017565203,49.851375260593706,main,bright,11037,3884954,1.2169449925422668,0.516788955958744,175.82079,0.7696700198376255,0.853544406837639,0.18727504355706015,3.974540920727208e-05,6121
2064,39633244408252983,203.4096804157799,49.86502349385452,main,bright,11080,3884952,1.1780500411987305,0.5002717909101404,122.46837,1.0857829851530976,1.167485545922448,0.1289197880093299,5.418551948556703e-05,6122
2065,39633244743797873,234.23704804522455,49.63611918492514,main,bright,9966,3620682,1.2441200017929077,0.5283291198485429,169.12024,0.944009498716184,0.9444735004373848,0.0,5.1468380450803364e-05,6123
2066,39633244957706560,253.8134817296784,49.642866553108384,main,bright,10014,3640478,1.1005899906158447,0.46737753610441163,215.12395,0.9038031464131507,0.9523825551722919,0.10551208700994019,0.00012060171570025917,6124
2067,39633245020621334,259.65445218077497,49.7501152026822,main,bright,10049,3885325,1.0399500131607056,0.4416261086935998,174.17473,0.9001874260238296,0.9397715570534103,0.08215757295105752,6.142748950170864e-05,6125
2068,39633245033203627,260.7356589396028,49.642275069593786,main,bright,9710,3669476,1.203029990196228,0.5108797985369692,182.78094,0.8736381700005311,1.0063043791292572,0.244702871183893,8.708374896484477e-05,6126
2069,39633245117092545,268.6432886618766,49.7949184852631,main,bright,9693,3670183,1.0302350521087646,0.4375005445884186,214.71358,2.0820621358531155,2.2259814142833356,0.12390227047099567,0.0004492582990534821,6127
2070,39633245200975000,276.0560115871397,49.78381655653984,main,bright,15089,3885494,1.1166399717330933,0.47419333553295673,440.4603,1.0374706863718839,1.0943850379943003,0.10597973239036085,7.220289216607592e-05,6128
2071,39633245200976208,276.1518632690254,49.71093425528921,main,bright,15089,3885494,1.0677449703216553,0.4534295402210329,478.59683,1.012219159193261,1.071175378620614,0.1089264472664001,0.0001082130947830124,6129
2072,39633247314904491,110.85579799939153,49.952996712969224,main,bright,6942,4461339,1.1408799886703491,0.4844871229450379,197.4925,1.2832325337294335,1.292679224136909,0.01156988521205482,0.0001728094663628535,6130
2073,39633247658838455,142.6571876272232,50.070448467435554,main,bright,7233,4600380,1.1910799741744995,0.5058050939764466,180.31406,0.7721262630898249,0.8136220703093717,0.09984016314516875,5.912409079271822e-05,6131
2074,39633247826611435,158.24334149011037,49.92779616393517,main,bright,5935,4599464,1.1738699674606323,0.4984966770338513,238.20107,0.8926540255937235,0.8930927849545939,0.0,6.740268111806118e-05,6132
2075,39633247893719736,164.43216630551805,49.97187430638124,main,bright,5918,4599004,1.0244799852371216,0.43505659271031766,238.50528,0.8796099748478409,0.9135907054672527,0.07230386360752394,6.556516625856777e-05,6133
2076,39633247935661071,168.09797544314122,49.89979507141765,main,bright,5954,4462143,1.1558600068092346,0.4908485509320706,384.57065,0.829908014930183,0.8769037107944738,0.10304015603076011,0.0001387193129466672,6134
2077,39633248086655557,181.9958863251291,49.91356185009134,main,bright,10989,3484307,1.2974599599838257,0.550980514507542,161.66095,1.0302103165629497,1.032186995321251,0.004005408551328027,5.067487813142056e-05,6135
2078,39633248938101364,260.77360530404457,50.080623265272166,main,bright,9710,3669486,1.1442049741744995,0.4858991142821961,175.44176,1.2641846294176917,1.2977775623303074,0.05669508110091859,0.00011079098567838123,6137
2079,39633249026181842,268.8750914585323,50.07388425447303,main,bright,9695,3670192,1.0622199773788452,0.45108329174464984,149.28566,0.829138569744542,0.8422105939956038,0.030118464078057516,5.2258635654368904e-05,6138
2080,39633249126843571,278.01766149515504,50.09704094857822,main,bright,15071,3689687,1.0915449857711792,0.46353647620526905,325.7994,0.8882053074973244,0.8983835486027512,0.021536154732361923,6.8912494290857e-05,6139
2081,39633251123335371,103.21263768044494,50.14586357959139,main,bright,7044,4480653,1.297260046005249,0.5508956188574483,171.58426,0.9716288655383064,1.1309965194783793,0.2522689965682835,0.0001888721259433832,6140
2082,39633251223997279,112.46531926385995,50.17797902803681,main,dark,6941,4453695,1.0762200355529785,0.4570285690509458,225.11989,1.3469687038460019,1.3689778612285703,0.02091388261528604,5.236518699380692e-05,6141
2083,39633251450488668,133.41981923900585,50.312490910583755,main,bright,7224,4503051,1.1722450256347656,0.4978066277753971,248.08652,1.040821006999087,1.09216106405502,0.0924901577837709,7.69210650155868e-05,6142
2084,39633251681174613,154.81608612318314,50.199634688556465,main,bright,6019,4599479,1.0121500492095947,0.42982055097815003,240.11266,0.9214191472129539,0.921872045272598,0.0,0.00012757304274425767,6143
2085,39633251744091107,160.86502873608973,50.20495039713139,main,bright,5938,4599019,1.0707900524139404,0.4547226675233551,171.5878,0.962939374991106,1.0405494515453273,0.14245286116950517,4.563169529952303e-05,6144
2086,39633251752479020,161.55647094844372,50.26549244314962,main,bright,5939,4599018,1.1540799736976624,0.49009264046862416,239.56941,0.9697153310612392,1.0135386611766766,0.06925051351517708,6.757801637921693e-05,6145
2087,39633251966387894,181.37303746359163,50.256689233269256,main,bright,10991,3484269,1.233590006828308,0.5238574427083642,178.66771,1.1843543419070086,1.2037948419972042,0.04367482103344944,8.896158084500827e-05,6146
2088,39633252016718766,185.94987980573063,50.19793862693464,main,bright,10996,3884743,1.2857449650764465,0.5460056142249918,156.88115,1.0045056989082501,1.0924013953052887,0.15427938979433975,5.8301650672419546e-05,6147
2089,39633252020912364,186.26451082711617,50.25224468526156,main,bright,10996,3884742,1.2606500387191772,0.5353487802090663,214.89465,0.9696143823707115,0.9700909694632491,0.0,7.260953950984139e-05,6148
2090,39633252033497773,187.69877973103493,50.34347758555859,main,bright,10975,3884740,1.2549699544906616,0.532936670527691,142.40665,0.9164364218743912,0.9437650700149143,0.05844569095591745,4.2553412772467605e-05,6149
