Index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,objName,gPSFMag,rPSFMag,iPSFMag,zPSFMag,yPSFMag,gPSFMagErr,rPSFMagErr,iPSFMagErr,zPSFMagErr,yPSFMagErr,gKronMag,rKronMag,iKronMag,zKronMag,yKronMag,gKronMagErr,rKronMagErr,iKronMagErr,zKronMagErr,yKronMagErr,gKronRad,rKronRad,iKronRad,zKronRad,yKronRad,gexpTime,rexpTime,iexpTime,zexpTime,yexpTime,distance,Index
0,39633217262719709,269.8011600281221,47.93381539128683,main,bright,9599,PSO J269.8012+47.9338,19.934900283813477,19.08989906311035,18.68790054321289,18.41029930114746,18.223499298095703,0.010638999752700329,0.0061599998734891415,0.0033160001039505005,0.0064570000395178795,0.012215999886393547,19.755699157714844,18.83639907836914,18.449100494384766,18.19499969482422,18.109500885009766,0.014039999805390835,0.008239000104367733,0.0051819998770952225,0.009593999944627285,0.018352000042796135,3.225790023803711,3.0535099506378174,3.1499500274658203,3.136620044708252,2.544879913330078,602.0,720.0,1755.0,600.0,680.0,0.005327813292162405,6001
1,39633217329824465,275.451383661487,47.98958901464589,main,bright,15077,PSO J275.4514+47.9896,21.307100296020508,19.949899673461914,19.360700607299805,19.11989974975586,18.989200592041016,0.026155000552535057,0.010774999856948853,0.0070329997688531876,0.012907999567687511,0.019381999969482422,21.07979965209961,19.75349998474121,19.168699264526367,18.95599937438965,18.86750030517578,0.03424999862909317,0.014632999897003174,0.01042800024151802,0.018425000831484795,0.028531000018119812,2.848170042037964,2.699769973754883,3.1667799949645996,2.733839988708496,2.294950008392334,980.0,800.0,1965.0,690.0,780.0,0.009936603516406682,6002
2,39633217329824465,275.451383661487,47.98958901464589,main,bright,15077,PSO J275.4514+47.9896,21.237300872802734,19.93709945678711,19.361799240112305,19.107900619506836,19.001699447631836,0.02631700038909912,0.009998000226914883,0.006477000191807747,0.012985000386834145,0.019639000296592712,21.0487003326416,19.733800888061523,19.161800384521484,18.94890022277832,18.865400314331055,0.034540001302957535,0.013616999611258507,0.009680000133812428,0.01862799935042858,0.028017999604344368,2.904910087585449,2.8191099166870117,3.050309896469116,2.7246899604797363,2.2665998935699463,1100.0,880.0,2685.0,750.0,720.0,0.009936603516406682,6002
3,39633219372454731,97.62196834299296,48.25188562877464,sv1,dark,6874,PSO J097.6220+48.2519,23.278200149536133,20.913999557495117,20.18199920654297,19.837099075317383,19.579700469970703,0.16891400516033173,0.028651999309659004,0.013012000359594822,0.0252080000936985,0.05037099868059158,,,20.06909942626953,19.501699447631836,,,,0.017155999317765236,0.0327720008790493,,,,2.0390799045562744,2.325860023498535,,989.0,880.0,1395.0,720.0,1030.0,0.03516015044927674,6003
4,39633219607330856,118.25396346119857,48.2125910286378,main,bright,6633,PSO J118.2540+48.2126,21.935199737548828,20.17729949951172,19.504899978637695,19.12150001525879,18.854000091552734,0.05678800120949745,0.019040999934077263,0.005925999954342842,0.014202999882400036,0.02232399955391884,21.4060001373291,20.01140022277832,19.20829963684082,18.848600387573242,18.51059913635254,0.06151600182056427,0.02406499907374382,0.008019999600946903,0.02019299939274788,0.029092000797390938,3.086319923400879,2.501840114593506,2.8363099098205566,2.878159999847412,2.583899974822998,559.0,520.0,1830.0,510.0,590.0,0.034664091777414155,6004
5,39633219854796782,140.57242820260157,48.28744174154553,main,bright,7189,PSO J140.5724+48.2874,21.540300369262695,20.068099975585938,19.420900344848633,19.180400848388672,18.953399658203125,0.05025999993085861,0.015073000453412533,0.007899999618530273,0.010658999904990196,0.023336999118328094,21.414499282836914,19.68869972229004,19.02869987487793,18.755399703979492,18.583200454711914,0.06061000004410744,0.02020999975502491,0.01070099975913763,0.01631700061261654,0.031190000474452972,2.499880075454712,3.3556699752807617,3.586699962615967,3.0997800827026367,2.6783699989318848,749.0,864.0,1838.0,900.0,730.0,0.010353547073071713,6005
6,39633219959653468,149.80407830816188,48.13215766864554,main,bright,5849,PSO J149.8041+48.1321,21.101299285888672,19.654800415039062,18.92259979248047,18.703100204467773,18.515600204467773,0.02979999966919422,0.011827999725937843,0.004023999907076359,0.007703000213950872,0.020322000607848167,20.89150047302246,19.31450080871582,18.549100875854492,18.333200454711914,,0.041397999972105026,0.016380000859498978,0.006885000038892031,0.011327999643981457,,3.072740077972412,3.6891000270843506,4.554279804229736,3.656019926071167,,810.0,744.0,3038.0,660.0,660.0,0.012029195013246096,6006
7,39633220039344518,156.82658268904763,48.1796453429362,main,bright,5929,PSO J156.8266+48.1796,18.05270004272461,17.29210090637207,16.870100021362305,16.724199295043945,16.448400497436523,0.0037040000315755606,0.0019539999775588512,0.0008169999928213656,0.0019150000298395753,0.0036069999914616346,17.643400192260742,16.68000030517578,16.47800064086914,16.287500381469727,15.887200355529785,0.003713000100106001,0.002911000046879053,0.0009869999485090375,0.0020280000753700733,0.005981000140309334,4.348830223083496,7.4979400634765625,4.35276985168457,3.7057900428771973,5.458779811859131,914.0,864.0,2678.0,810.0,730.0,0.0030297931668027225,6007
8,39633220135814156,165.52859691471565,48.160664315621034,main,bright,5910,PSO J165.5286+48.1607,21.115100860595703,19.637399673461914,18.99169921875,18.768600463867188,18.6919002532959,0.037289999425411224,0.009050999768078327,0.004135000053793192,0.007466999813914299,0.020421000197529793,20.862300872802734,19.263399124145508,18.59160041809082,18.31679916381836,18.172100067138672,0.04739699885249138,0.012401999905705452,0.006473999936133623,0.010769999586045742,0.02599399909377098,2.7296900749206543,3.5067899227142334,4.188499927520752,3.5376598834991455,3.1473400592803955,939.0,952.0,3529.0,810.0,900.0,0.004036759196288463,6008
9,39633220366499873,185.9876981530273,48.16540344432831,main,bright,10981,PSO J185.9877+48.1654,21.868999481201172,20.284799575805664,19.447099685668945,19.097400665283203,18.751699447631836,0.0243149995803833,0.006632999982684851,0.007278999779373407,0.009242000058293343,0.021556999534368515,21.60759925842285,19.76810073852539,18.984699249267578,18.611799240112305,18.422000885009766,0.0314520001411438,0.008961999788880348,0.011032000184059143,0.013163000345230103,0.028954999521374702,3.028090000152588,3.8763298988342285,3.657439947128296,3.600409984588623,3.1732800006866455,2216.0,1904.0,1388.0,1140.0,1150.0,0.017972511452856794,6009
