Index,RA,DEC,Target ID,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity
194,198.5459493075457,4.715148807102678,39627902744007882,3861553,1.186669945716858,0.5039323273219638,182.29025,1.5726929800249396,1.7710680573069215,0.18801836253715043,0.0007408927549970099
195,234.51046128308576,4.7642689896111765,39627903347984921,3861763,1.115630030632019,0.47376445303588216,282.33087,1.0898994050695574,1.134510598271781,0.07632898902943375,0.000479677850434032
196,195.72312865320336,5.097450643177487,39627908720890545,3861539,1.09266996383667,0.46401421040320256,173.8182,0.9742368262921554,1.0907963795522466,0.17602428318925778,8.278993554776173e-05
197,242.58604504146513,4.8982306087711045,39627909505225209,3861820,1.0640400052070618,0.45185618640046743,221.20628,0.653967365489254,0.6604575824011866,0.020659789146272978,0.004425027125182052
198,333.1077283978076,5.110126665335452,39627911019368713,3874847,0.936226487159729,0.3975787827759145,239.81294,1.2905614932120058,1.463050470928489,0.21887268637221546,0.0007874634137935469
199,164.05092483628172,5.262399528666336,39627914215426244,4414078,1.3144899606704712,0.558212489928586,120.01866,1.3600564177158514,1.5882650037059594,0.2667819999111032,0.001089993423242595
200,212.7350125317605,5.225200053026879,39627915029122227,3524477,0.9689764976501465,0.4114864317105009,164.26283,2.6600284675081136,3.085266596738844,0.23676294743829407,0.0020051814925149507
201,221.8398268011349,5.231212211496646,39627915180118917,3524672,0.996442973613739,0.4231503701169839,151.5008,1.1631373992507312,1.167282780578808,0.005842954042360904,0.0005491012460327662
202,351.8214701150036,5.3597598061733835,39627917356959552,3966112,1.19937002658844,0.5093255550967916,178.281,3.268030180466081,3.4599609644628857,0.09754134861619257,0.002877283100485396
203,29.05006182791074,5.588579905515554,39627917977718411,4028018,1.2430299520492554,0.5278662183432018,238.83658,2.7361166596698774,2.8410955463693592,0.0660854009806594,0.009535026452178753
204,30.484964482895226,5.408329788767667,39627918002883495,4020626,1.157960057258606,0.4917403602462484,202.15442,0.9819610577580017,1.2006036149964616,0.33367777731353665,0.0003514333373225031
205,139.6622650378709,5.467715009731243,39627919827404486,4553542,1.0547699928283691,0.4479195745993857,186.64061,1.7365752210145988,1.9905730716316672,0.24005047788527367,0.0005499403559361933
206,193.7772920585533,5.530373708905285,39627920729182571,3446300,1.1155500411987305,0.4737304846511398,164.61589,1.325059549668561,1.4544834263697057,0.1430968335919215,0.0008034122838674302
207,236.67433241839535,5.520988484188664,39627921446408092,3580785,0.9944284856319427,0.42229489583730506,186.80862,0.8442092552496347,0.8899608390597287,0.09179555890123137,8.697425011050769e-05
208,11.26277976909742,5.6489493645721,39627923694556126,3991834,1.0623799562454224,0.45115122851413453,299.3185,1.2146662353649542,1.3355774583790019,0.16275748123998213,0.00015002949055506102
209,251.7750667895849,5.809404050466034,39627927712700378,3592478,0.9861335158348083,0.41877234649658657,241.70732,1.5763328818117313,1.7083002261680131,0.1605651350003301,0.0004974099919128766
210,312.3373368944756,5.800320113191632,39627928727717425,3730671,1.0225199460983276,0.4342242407253199,218.22646,1.6281997189926563,1.939845725458423,0.2689175284794487,0.0017403314134531674
211,326.43090902152784,5.740604493512599,39627928962598357,3754276,0.9574635028839111,0.4065973129897182,286.60715,3.02507770457507,3.17356583896392,0.08896357992915072,0.0015017604736829405
212,157.5173547501195,6.08318295969153,39627932154464288,4537913,1.1792000532150269,0.5007601560481573,314.3871,1.6358101044443245,1.9521817390730867,0.2745671876930328,0.000958761182050084
213,335.0407784270869,5.993858780873796,39627935119838474,3874972,1.0945299863815308,0.46480408925139133,217.27972,0.8214035561822176,0.9027249285181926,0.16077240336386445,0.0001933588988998165
214,211.5280518319358,6.134358313564941,39627939066677298,3498958,1.026960015296936,0.4361097645079027,152.47798,2.2421849410162284,2.2504709914460097,0.03038977758930239,0.0005657676141323123
215,250.24472618265256,6.361507886314904,39627939712600808,3861895,1.130429983139038,0.48004941418960145,189.69742,0.978809058673187,1.050215599281507,0.11756955385861134,0.00027651990927993024
216,40.47722986968342,6.769233834017564,39627948227035208,4017849,1.040809988975525,0.44199130679722304,178.59576,1.049988801639581,1.0500782381493794,0.0019945419116749186,6.663999102312729e-05
217,131.72649085567176,6.65251062117128,39627949745378709,4595538,1.3707000017166138,0.5820826965563726,157.06207,1.6932524805899298,1.7373101829483313,0.04829098189863035,0.00046439956883619104
218,228.77770798500077,6.836603513826982,39627951368569021,3580125,0.9685369729995728,0.41129978277675283,226.17769,1.2783983922649211,1.4014758893711736,0.16469201897410723,0.00078204681358789
219,9.728059030499034,7.056720078247473,39627953717381729,4054560,0.9885750114917755,0.41980915423997195,250.69933,4.5492531200699675,4.759830585892417,0.09480674052466598,0.005949451967985639
220,193.82696152366205,7.093137165606338,39627956783420375,3446340,1.192770004272461,0.5065227836791174,192.07614,2.0722483273078027,2.6851879986300404,0.3653307564422299,0.0028150945226345665
221,256.89467636066234,7.072656678550474,39627957836189954,3640415,0.9282080233097076,0.3941736546995922,222.13289,1.2151932250421615,1.3141163342081894,0.14024860944690454,6.851953114800146e-05
222,344.96791715706945,7.027677868544126,39627959304193307,3875198,1.1522199511528015,0.4893027616204354,158.66776,1.6162706830991171,1.8301849327596995,0.1985739284834852,0.0015238458327389544
223,139.8287988754851,7.3052646500342355,39627961883691343,4553549,1.2185200452804565,0.5174578192723179,199.93007,1.1806463917292331,1.252697248735506,0.07780569361275769,0.00010272334840638055
224,347.38399936562166,7.26777339066607,39627965339799302,3945488,1.0874499678611755,0.46179748221350103,160.59987,2.074267015508883,2.85126343469688,0.4256069090987311,0.003947509831876861
225,16.91857286420411,7.508824004586836,39627965834724371,4009668,1.1292200088500977,0.4795355854189089,248.42972,4.979444896311282,6.218998476632598,0.2528798314908528,0.001589021344545263
226,37.96641837499766,7.563564089773415,39627966182854961,4020766,1.1120500564575195,0.4722441779804469,218.32072,0.8083963210983186,0.8478566618036909,0.09061414822121028,0.00015517807687111593
227,122.44349556202611,7.385418987598323,39627967592138973,4481281,1.2295299768447876,0.5221333067209507,157.64809,1.6064116997972633,1.750831383263956,0.14818437267032247,0.00046181691885447855
228,149.94043789957027,7.402603905839681,39627968049318748,4495888,1.059054970741272,0.4497392371769762,174.52847,1.1250692319711872,1.4663266329934226,0.4088947490157048,0.0009228134653484623
