Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
0,4999,4999,39633001113453492,220.45365853904605,35.9485744519125,main,bright,9194,True,True,True,True,
1,5000,5000,39633001113453492,220.45365853904605,35.9485744519125,main,dark,9194,True,True,True,True,
2,5001,5001,39633001188950075,225.9256046544109,35.997341145036806,main,bright,9178,True,True,True,True,
3,5002,5002,39633001193147599,226.4878789741011,35.891619064824454,main,dark,9179,True,True,True,True,
4,5003,5003,39633001222506424,228.5473881651863,36.12374798033832,main,dark,9174,True,True,True,True,
5,5004,5004,39633001272839564,232.36179178247903,36.05196246271473,main,dark,9771,True,False,True,True,
6,5005,5005,39633001293807857,233.6470166048746,35.92862201239151,main,bright,9772,True,True,True,True,
7,5006,5006,39633001537077653,251.53381042986135,36.05221257392839,main,bright,9431,True,True,True,True,
8,5007,5007,39633001541275208,252.04993920822488,36.02716304612369,sv3,bright,9429,True,True,True,True,
9,5008,5008,39633001587412917,255.4465004321621,36.11402522695491,main,bright,9513,True,True,True,True,
10,5009,5009,39633001818099393,272.32781810214993,36.10615278061601,main,dark,32729,True,True,True,True,
11,5010,5010,39633004376621144,100.5164128824239,36.365223083490086,sv1,bright,6693,True,True,False,False,Galaxy size processing returned None
12,5011,5011,39633004552781895,113.5062155020933,36.12786933264191,main,bright,6363,True,True,True,True,
13,5012,5012,39633004674417076,122.5095404199127,36.26305083342422,main,dark,6439,True,True,True,True,
14,5013,5013,39633004850580104,135.6904406515411,36.25255787932433,main,bright,5082,True,True,True,True,
15,5014,5014,39633004854773275,135.88985666776958,36.17777708526725,main,bright,5082,True,True,True,True,
16,5015,5015,39633004854774859,136.01193514389158,36.18445585119866,main,bright,5083,True,True,True,True,
17,5016,5016,39633004930269679,141.37531530367488,36.227411209607205,main,bright,5674,True,True,True,True,
18,5017,5017,39633004942854833,142.48685411532,36.2797632203107,main,bright,5675,True,True,True,True,
19,5018,5018,39633005089656920,153.37897939839388,36.34103863798351,main,dark,5355,True,True,True,True,
20,5019,5019,39633005211288206,162.10501023458542,36.36071438698246,main,bright,5335,True,True,True,True,
