Index,processing_index,original_index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,fits_downloaded,panstarrs_success,galaxy_size_success,fully_processed,failure_reason
0,6000,6000,39633217086554723,253.83788879600417,47.99017722238272,main,dark,10003,True,False,True,True,
1,6001,6001,39633217262719709,269.8011600281221,47.93381539128683,main,bright,9599,True,True,True,True,
2,6002,6002,39633217329824465,275.451383661487,47.98958901464589,main,bright,15077,True,True,True,True,
3,6003,6003,39633219372454731,97.62196834299296,48.25188562877464,sv1,dark,6874,True,True,False,False,Galaxy size processing returned None
4,6004,6004,39633219607330856,118.25396346119857,48.2125910286378,main,bright,6633,True,True,True,True,
5,6005,6005,39633219854796782,140.57242820260157,48.28744174154553,main,bright,7189,True,True,True,True,
6,6006,6006,39633219959653468,149.80407830816188,48.13215766864554,main,bright,5849,True,True,True,True,
7,6007,6007,39633220039344518,156.82658268904763,48.1796453429362,main,bright,5929,True,True,True,True,
8,6008,6008,39633220135814156,165.52859691471565,48.160664315621034,main,bright,5910,True,True,True,True,
9,6009,6009,39633220366499873,185.9876981530273,48.16540344432831,main,bright,10981,True,True,True,True,
10,6010,6010,39633220454581205,193.9472019562963,48.177603172761934,main,bright,11050,True,True,True,True,
11,6011,6011,39633220475555073,196.04628988939,48.27683265924493,main,bright,11052,True,True,True,True,
12,6012,6012,39633220509107120,198.78432219382464,48.3482584080054,main,bright,11045,True,True,True,True,
13,6013,6013,39633220551050528,202.55790431625675,48.2414846477764,main,bright,11030,True,True,True,True,
14,6014,6014,39633220559438823,203.2826714854462,48.14748258813397,main,bright,11030,True,True,True,True,
15,6015,6015,39633220584604034,205.48648039479392,48.363611090722614,main,bright,11072,True,True,True,True,
16,6016,6016,39633220584606820,205.7798305591172,48.186831809613466,main,bright,10730,True,True,True,True,
17,6017,6017,39633220651714889,211.67125018935008,48.22558364493878,main,bright,10725,True,True,True,True,
18,6018,6018,39633220714630096,217.35140979770787,48.17971548145081,main,bright,10709,True,True,False,False,Galaxy size processing returned None
19,6019,6019,39633221155031020,256.52457009345665,48.22999529931421,main,bright,10005,True,True,True,True,
20,6020,6020,39633221192780942,259.9853395619474,48.23817333384392,main,dark,9705,True,True,True,True,
21,6021,6021,39633223558366418,111.35805335090063,48.52275301450118,main,bright,6937,True,False,True,True,
22,6022,6022,39633223843579094,136.91853992375044,48.62438918184705,main,bright,7195,True,True,True,True,
23,6023,6023,39633223889716905,141.17229830673278,48.57766367528855,main,bright,7232,True,True,True,True,
24,6024,6024,39633223902298404,142.07601190504607,48.39697140351834,main,bright,5866,True,True,True,True,
25,6025,6025,39633224523055386,197.6885721827479,48.526916943983984,main,bright,11047,True,True,True,True,
26,6026,6026,39633224523057759,197.9073230241893,48.46626117584704,main,bright,11045,True,True,True,True,
27,6027,6027,39633224590167780,203.99785888156217,48.45821604921868,main,dark,11031,True,True,True,True,
28,6028,6028,39633224623720927,206.92717202437208,48.414876974611104,main,bright,10730,True,True,True,True,
29,6029,6029,39633224732773818,216.7620836639836,48.5944736841133,main,bright,10711,True,True,True,True,
30,6030,6030,39633224896350336,231.3156057604463,48.49136674689072,main,bright,11328,True,True,True,True,
31,6031,6031,39633225206729703,259.15556850137045,48.37926657886177,main,bright,9707,True,True,True,True,
32,6032,6032,39633225324171164,269.74335700533106,48.476790310512065,main,bright,9685,True,True,True,True,
33,6033,6033,39633225395474902,276.1446607478717,48.41563474565536,main,bright,15088,True,True,True,True,
34,6034,6034,39633227496816799,104.75819827713006,48.77023992001494,main,bright,6953,True,True,True,True,
35,6035,6035,39633227786223686,130.84505726201616,48.83736240124147,main,bright,7209,True,True,True,True,
36,6036,6036,39633227903666332,141.67738817136762,48.81176432273585,main,bright,7232,True,True,True,True,
