Index,TARGETID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,objName,gPSFMag,rPSFMag,iPSFMag,zPSFMag,yPSFMag,gPSFMagErr,rPSFMagErr,iPSFMagErr,zPSFMagErr,yPSFMagErr,gKronMag,rKronMag,iKronMag,zKronMag,yKronMag,gKronMagErr,rKronMagErr,iKronMagErr,zKronMagErr,yKronMagErr,gKronRad,rKronRad,iKronRad,zKronRad,yKronRad,gexpTime,rexpTime,iexpTime,zexpTime,yexpTime,distance,Index,processing_index,original_index
0,39628017596632344,253.29295663061592,9.498482173831434,main,bright,31578,PSO J253.2930+09.4984,22.40730094909668,20.854400634765625,20.080799102783203,19.726600646972656,19.571399688720703,0.06820400059223175,0.02208399958908558,0.01570799946784973,0.018626000732183456,0.03145299851894379,21.3927001953125,20.349300384521484,19.50909996032715,19.19729995727539,18.97369956970215,0.05609700083732605,0.02338300086557865,0.018706999719142914,0.021608000621199608,0.03448000177741051,3.2834599018096924,2.610059976577759,3.230329990386963,2.9826600551605225,2.8569700717926025,989.0,1631.0,2745.0,810.0,960.0,0.12099962953746117,2900,2900,2900
1,39628017680516047,258.2516154058225,9.449657909592998,main,dark,31573,PSO J258.2516+09.4497,22.731000900268555,21.06369972229004,20.268999099731445,19.721200942993164,19.46109962463379,0.09567800164222717,0.022972000762820244,0.012838000431656837,0.01622300036251545,0.03275600075721741,22.81439971923828,20.82040023803711,19.909900665283203,19.42970085144043,19.11520004272461,0.1444370001554489,0.030880000442266464,0.016853999346494675,0.022710999473929405,0.04327699914574623,2.2411000728607178,2.4046499729156494,2.6486899852752686,2.70743989944458,2.797679901123047,731.0,920.0,1620.0,750.0,860.0,0.017423025719759365,2901,2901,2901
2,39628017701493909,259.72552782105237,9.53035456220379,main,bright,31914,PSO J259.7255+09.5304,22.39940071105957,20.731800079345703,20.03849983215332,19.669099807739258,19.458200454711914,0.07424099743366241,0.020459000021219254,0.01209300011396408,0.01715400069952011,0.03370499983429909,22.61440086364746,20.55739974975586,19.920799255371094,19.507299423217773,19.52120018005371,0.12198399752378464,0.02750599943101406,0.01837800070643425,0.024807000532746315,0.051242999732494354,2.0963199138641357,2.4492099285125732,2.686000108718872,2.565850019454956,2.2824900150299072,602.0,680.0,1755.0,780.0,940.0,0.02303431515808889,2902,2902,2902
3,39628017709880810,260.1913692194651,9.619913555533492,main,bright,31913,PSO J260.1914+09.6199,21.489900588989258,20.020000457763672,19.28969955444336,18.946699142456055,18.724300384521484,0.035666998475790024,0.008697999641299248,0.0048870001919567585,0.008239000104367733,0.015548000112175941,21.25629997253418,19.4867000579834,18.874300003051758,18.566600799560547,18.357099533081055,0.04605000093579292,0.011237000115215778,0.0068060001358389854,0.011392000131309032,0.021073000505566597,2.5736000537872314,3.2455201148986816,3.47625994682312,3.232100009918213,2.9943900108337402,817.0,720.0,1980.0,780.0,940.0,0.026136863105126293,2903,2903,2903
4,39628017709880810,260.1913692194651,9.619913555533492,main,dark,31913,PSO J260.1914+09.6199,21.489900588989258,20.020000457763672,19.28969955444336,18.946699142456055,18.724300384521484,0.035666998475790024,0.008697999641299248,0.0048870001919567585,0.008239000104367733,0.015548000112175941,21.25629997253418,19.4867000579834,18.874300003051758,18.566600799560547,18.357099533081055,0.04605000093579292,0.011237000115215778,0.0068060001358389854,0.011392000131309032,0.021073000505566597,2.5736000537872314,3.2455201148986816,3.47625994682312,3.232100009918213,2.9943900108337402,817.0,720.0,1980.0,780.0,940.0,0.026136863105126293,2904,2904,2904
5,39628018708125619,320.47341629219983,9.430662148895932,main,bright,12367,PSO J320.4734+09.4307,20.282100677490234,19.288700103759766,18.7549991607666,18.421100616455078,18.293899536132812,0.010979999788105488,0.006719000171869993,0.004110000096261501,0.009499999694526196,0.015692999586462975,20.072999954223633,18.93630027770996,18.39189910888672,18.18079948425293,17.997900009155273,0.013731000013649464,0.00839299988001585,0.005814999807626009,0.01231400016695261,0.02115200087428093,2.8100900650024414,3.0548999309539795,3.5919699668884277,2.6853599548339844,2.605220079421997,989.0,1040.0,1800.0,750.0,940.0,0.031095283478705913,2905,2905,2905
6,39628019286934324,355.22983186331044,9.532578809401771,main,bright,19610,PSO J355.2298+09.5326,21.65130043029785,20.152799606323242,19.528499603271484,19.143999099731445,19.02440071105957,0.04612699896097183,0.010204000398516655,0.009229999966919422,0.01273099984973669,0.021409999579191208,,,18.896299362182617,18.601600646972656,18.414100646972656,,,0.011455000378191471,0.01706800051033497,0.029154999181628227,,,3.4828600883483887,3.382319927215576,2.9868500232696533,774.0,1400.0,1080.0,810.0,780.0,0.02103615003427,2906,2906,2906
7,39628019341459944,358.5101602284028,9.607770875412674,main,dark,19606,PSO J358.5102+09.6078,22.02829933166504,20.254899978637695,19.780399322509766,19.362499237060547,19.155500411987305,0.08288100361824036,0.02102299965918064,0.012918000109493732,0.012547999620437622,0.029513999819755554,21.731000900268555,19.925100326538086,19.182199478149414,18.933500289916992,18.52869987487793,0.10496299713850021,0.027847999706864357,0.018302999436855316,0.01798499934375286,0.04024700075387955,2.9431400299072266,3.0933399200439453,3.7673699855804443,3.0664000511169434,3.1633400917053223,774.0,1640.0,1170.0,870.0,910.0,0.03596235837189953,2907,2907,2907
8,39628019341459944,358.5101602284028,9.607770875412674,main,dark,19606,PSO J358.5102+09.6078,22.007099151611328,20.247900009155273,19.773300170898438,19.354900360107422,19.227100372314453,0.07945500314235687,0.02134300023317337,0.012887000106275082,0.012765999883413315,0.03379200026392937,21.747900009155273,19.927000045776367,19.16939926147461,18.94529914855957,18.553600311279297,0.10668899863958359,0.028132999315857887,0.0183119997382164,0.018031999468803406,0.04208400100469589,2.947999954223633,3.1415200233459473,3.795099973678589,2.9793100357055664,3.185889959335327,817.0,1800.0,1170.0,750.0,870.0,0.03596235837189953,2907,2907,2907
9,39628019404374275,2.296941976156006,9.780086086740074,main,dark,19561,PSO J002.2969+09.7801,22.164400100708008,20.556800842285156,19.83300018310547,19.510900497436523,19.222200393676758,0.053991999477148056,0.01852799952030182,0.009277000091969967,0.017570000141859055,0.025709999725222588,21.9281005859375,20.290000915527344,19.381200790405273,19.163400650024414,18.8799991607666,0.06908799707889557,0.024788999930024147,0.013112000189721584,0.02312999963760376,0.03285599872469902,2.541990041732788,2.8460400104522705,3.228490114212036,2.7608399391174316,2.5940699577331543,1032.0,920.0,1080.0,690.0,960.0,0.3148648644057965,2908,2908,2908
