Index,TARGETID ID,TARGET_RA,TARGET_DEC,SURVEY,PROGRAM,HEALPIX,Sky Cell ID,FWHM (arcsec),Sigma PSF,minlevel,Reff (arcsec),Reff_maj (arcsec),Eccentricity,Luminosity,processing_index,original_index
1604,39633369293654099,276.3970793548081,58.47354992838578,main,dark,15328,3692797,1.1589200496673584,0.4921480314866806,367.45596,1.08793620710679,1.120649304672299,0.05422755360523057,0.00011189604763181516,6645,6645
1605,39633370858130862,94.8524528359711,58.82533700238229,main,dark,7138,4438304,1.1388299465179443,0.48361655019926447,195.11153,1.198317095397728,1.2346595964313827,0.05699431448041081,3.692464853805089e-05,6646,6646
1606,39633370958792633,106.2706976406342,58.632402678476176,main,dark,7121,4442598,1.255810022354126,0.5332934145027719,305.34662,0.784906913016569,0.800538261694246,0.03962716563231594,0.004227414547881292,6647,6647
1607,39633371051067920,116.99359933045268,58.86707636022403,main,bright,7694,4442703,1.2404899597167969,0.526787582912941,279.0921,0.9145902665733764,0.9860422694509704,0.13944236256229514,7.054286790205479e-05,6648,6648
1608,39633371059454948,117.70569277444802,58.6528585371105,main,bright,7692,4442692,1.1575499773025513,0.4915662153229792,260.81174,0.8719661730708779,0.9612053765720867,0.1777136340693748,8.410821030733863e-05,6649,6649
1609,39633371193671854,132.9830018371711,58.80516175816098,main,bright,7371,4514254,1.1397500038146973,0.48400726255908766,250.70091,0.7853534829811903,0.7857395017324317,0.0,5.5904512296445823e-05,6650,6650
1610,39633371638270666,184.1803304132557,58.863232619386395,main,bright,11197,3886615,1.2188650369644165,0.5176043237513706,210.5924,0.7429332864279173,0.7500288882705264,0.018261208885266056,3.322744436539764e-05,6651,6651
1611,39633371713767756,192.8202058289461,58.63028792653047,main,bright,11207,3886704,1.1735899448394775,0.49837776237549103,227.99266,0.869464460740537,0.9254094508311529,0.11719808042330215,5.014631668183327e-05,6652,6652
1612,39633371734737681,194.99320496147345,58.651644421950635,main,bright,11216,3886701,1.2755099534988403,0.5416592049954613,184.14565,1.0591897687914325,1.059710384184038,0.0,0.00017125082972190632,6653,6653
1613,39633374251321376,123.7911094823987,59.057954145594046,main,bright,7697,4513757,1.1163100004196167,0.4740532096179541,205.12006,1.1005528077570494,1.1010937540057535,0.0,8.072397431160211e-05,6656,6656
1614,39633374440065375,145.59637923429295,59.01262189275374,main,bright,7293,4594435,1.182479977607727,0.5021530116931656,234.13548,0.921486188221983,1.0181193722648079,0.16171787716346642,0.00010092229448744338,6657,6657
1615,39633374482006611,150.14048591395502,59.10243890233707,main,bright,7460,4594639,1.1288299560546875,0.4793699452477063,262.07513,1.5162605000198608,1.6061555945244816,0.1043154638823085,0.00015591253962421204,6658,6658
1616,39633374511369133,153.8927790273471,58.9945014249696,main,bright,7437,4594634,1.0230300426483154,0.43444085878539807,193.18037,1.1622957322847363,1.1628670265577896,0.0,8.240661934910467e-05,6659,6659
1617,39633374607837416,164.900847814666,58.89490725356712,main,bright,6114,4470374,0.9825375080108643,0.4172452625771456,245.05386,0.907437595372125,0.9108065716671085,0.007160866486304984,4.9452711918407194e-05,6660,6660
1618,39633374880467771,196.25523860737803,59.081361729892194,main,bright,11217,3886709,1.2469500303268433,0.5295309223131972,266.0327,0.9568274975729557,1.0266086907378407,0.1332981844132609,4.9879674973677124e-05,6661,6661
1619,39633375522193448,269.7592077812059,58.9956767480265,main,bright,10109,3887436,1.0602850317955017,0.4502615960114975,250.75668,0.8848947666198912,0.9132028150158248,0.06065224919984613,5.985109510203042e-05,6662,6662
1620,39633375534779795,271.59453647829724,59.09937352096517,main,dark,15294,3887482,1.0660699605941772,0.4527182290824121,256.41306,2.814821755153254,3.3850932584141398,0.2359009849574657,0.001066779102981213,6663,6663
1621,39633375589304117,277.6615916730245,59.087527283903135,main,bright,15329,3693415,1.0476950407028198,0.4449151190612742,270.3862,0.8718653157706967,0.9542989639376847,0.1642709861972621,8.212684522129044e-05,6664,6664
1622,39633375589304117,277.6615916730245,59.087527283903135,main,dark,15329,3693415,1.0476950407028198,0.4449151190612742,270.3862,0.8718653157706967,0.9542989639376847,0.1642709861972621,8.212684522129044e-05,6665,6665
1623,39633375601886394,279.03354502907695,59.05166778979809,main,dark,15310,3693413,1.203320026397705,0.5110029655713627,220.19325,1.5675195385565461,1.5700585181551008,0.0026838993857953852,9.979953279720026e-05,6666,6666
1624,39633375627053738,282.0596197819738,58.93715394631157,main,bright,15309,3693409,1.0956000089645386,0.46525848600466585,236.52602,0.7073475080560325,0.7549686594814727,0.1227091193823906,4.17102912267563e-05,6667,6667
1625,39633377254442675,110.13868297942744,59.13715456811646,main,bright,7037,4442603,1.2427400350570679,0.5277431019323324,241.22058,1.09254328662958,1.1995279628446442,0.16499168791798013,0.0001246920666103362,6668,6668
1626,39633377690650868,160.8452455816443,59.35259898638336,main,bright,6079,4587844,1.0891000032424927,0.46249818772380064,209.01086,1.0917826450490264,1.1946395948392927,0.15924426505491573,0.00012561197440752561,6669,6669
1627,39633377975863877,193.9792511228391,59.35656282110026,main,bright,11219,3886722,1.2651950120925903,0.5372788526929504,176.80054,1.0284714776353903,1.0289769943028366,0.0,5.947773796129956e-05,6670,6670
1628,39633378491764461,253.87536235119217,59.20979217785908,main,bright,10210,3887274,1.1098600029945374,0.47131414790549336,186.20537,0.9053214932719135,0.9069558721284364,0.003819563616700994,0.0014683437838313115,6671,6671
1629,39633380215624091,94.51245027000348,59.4636204641583,main,bright,7138,4438314,1.1786050200462341,0.5005074687270822,227.27824,1.0165544186413273,1.1095395598734445,0.11921420479049993,2.893940532217073e-05,6672,6672
1630,39633380458892425,122.98030620240198,59.48965816634098,main,bright,7697,4513768,1.1404899954795837,0.4843215080855974,197.04909,0.8720142183260282,0.9046290381709898,0.06982510546262721,5.2050113282671375e-05,6673,6673
1631,39633380538584342,132.35563236762275,59.601894650347575,main,bright,7396,4514275,1.2067100405693054,0.5124425720409755,391.66638,0.9479257828330501,1.1127779545458802,0.25274675253939627,0.0002013313491423993,6674,6674
1632,39633380756687793,157.87127909346384,59.45080189395891,main,bright,7441,4587848,1.141070008277893,0.48456781684262246,176.47061,1.7070426449663487,1.7133420891088846,0.005936664411100412,7.636884521972811e-05,6675,6675
